Date,Close,High,Low,Open,Volume
20/09/2005,7.652674198,7.73692815,7.58606692,7.608931872,373665960
21/09/2005,7.751840115,7.798068213,7.604210539,7.66510134,404383212
22/09/2005,7.738667488,7.933768279,7.708843414,7.741898189,519735744
23/09/2005,7.837833405,7.883812401,7.768989459,7.77917881,339012648
26/09/2005,7.810991764,7.976765731,7.76824394,7.940726986,395380224
27/09/2005,7.802541256,7.913636725,7.788623007,7.827643828,274649076
28/09/2005,7.605204105,7.831371141,7.595262432,7.809499743,319576104
29/09/2005,7.695173264,7.72251251,7.607191848,7.622104121,224327448
30/09/2005,7.865171909,7.891019882,7.761532814,7.809499863,365685948
03/10/2005,7.920347691,7.955888713,7.773960298,7.794837197,366045588
04/10/2005,7.729472637,7.984967467,7.723010288,7.951912216,365406228
05/10/2005,7.722264767,7.826400637,7.654911147,7.771474465,332802864
06/10/2005,7.772966385,7.815962834,7.70685494,7.807511961,319432248
07/10/2005,7.778931618,7.870392846,7.718039867,7.82366797,270541188
10/10/2005,7.72077322,7.824412318,7.683492298,7.786884192,222665112
11/10/2005,7.607689381,7.770480329,7.576870806,7.719779353,341362296
12/10/2005,7.480190754,7.634779452,7.431228258,7.585321601,371875752
13/10/2005,7.392456055,7.505789616,7.224445894,7.505789616,422285292
14/10/2005,7.360147953,7.461799005,7.270674777,7.453597231,340423236
17/10/2005,7.580350876,7.585321476,7.320878065,7.393948161,302365332
18/10/2005,7.537602425,7.653917118,7.524180952,7.579356223,282828888
19/10/2005,7.672307968,7.701387588,7.554502478,7.555496503,280147572
20/10/2005,7.535614014,7.732702855,7.486155216,7.704370055,555911532
21/10/2005,8.447740555,8.610034232,8.276250132,8.594377033,914780304
24/10/2005,8.665211678,8.681367078,8.504656903,8.533985155,376890732
25/10/2005,8.621964455,8.634143751,8.521307906,8.593880753,274856868
26/10/2005,8.833966255,8.847884504,8.604070308,8.606307457,355943700
27/10/2005,8.774814606,8.874974856,8.740517652,8.862797454,205170624
28/10/2005,8.901816368,8.921202466,8.823527521,8.829741719,235903860
31/10/2005,9.249022484,9.313890338,8.935121663,8.953264166,573142284
01/11/2005,9.428961754,9.541300352,9.171229307,9.242063203,653589756
02/11/2005,9.43641758,9.568638565,9.374035037,9.486620827,422193384
03/11/2005,9.592248917,9.607907064,9.47866768,9.504267974,297638064
04/11/2005,9.703594208,9.737394856,9.57982267,9.692409411,352643004
07/11/2005,9.817920685,9.878563329,9.746342342,9.819659637,383276340
08/11/2005,9.690421104,9.831837889,9.657614009,9.798533544,315584100
09/11/2005,9.42324543,9.650406972,9.395408932,9.610143974,418257324
10/11/2005,9.720244408,9.726458604,9.380496155,9.403609254,364782852
11/11/2005,9.702846527,9.864394791,9.664323436,9.8201557,282273444
14/11/2005,9.866136551,9.897202802,9.730933005,9.745596655,312003684
15/11/2005,9.762495995,9.866880477,9.716517003,9.801763541,344651004
16/11/2005,9.895462036,9.912859134,9.795053658,9.846997746,347460192
17/11/2005,10.0271883,10.03613595,9.929762447,9.986179899,368119512
18/11/2005,9.946662903,10.0532855,9.937715254,10.02818245,280742976
21/11/2005,10.17407131,10.18948131,9.779645509,9.920813194,412990596
22/11/2005,10.35078144,10.37165929,10.0962816,10.15642605,383456160
23/11/2005,10.50959587,10.55582397,10.33363303,10.36494743,402996600
25/11/2005,10.65275097,10.65598167,10.57023694,10.58216713,193410396
28/11/2005,10.52500725,10.71787091,10.49915975,10.68257851,439895664
29/11/2005,10.02942467,10.59757804,9.994629522,10.54936095,858972168
30/11/2005,10.0634737,10.15145464,9.831092478,10.04731925,623240136
01/12/2005,10.29163074,10.3251823,10.14747955,10.17009635,389406204
02/12/2005,10.38135242,10.42683417,10.28591463,10.36246358,301438260
05/12/2005,10.08683586,10.37638088,10.04781552,10.36395343,411164424
06/12/2005,10.05427837,10.34929125,9.983694527,10.15766932,604406988
07/12/2005,10.04632664,10.10796379,9.916839079,10.09454184,466169364
08/12/2005,10.20613575,10.20613575,10.00705694,10.07316839,356043600
09/12/2005,10.17009544,10.33363273,10.15418915,10.31424568,305430264
12/12/2005,10.25484753,10.31946722,10.18873703,10.30505173,277725996
13/12/2005,10.37613106,10.38880571,10.23073724,10.25211138,326225448
14/12/2005,10.41266537,10.43180331,10.32642433,10.36494647,264950784
15/12/2005,10.50189114,10.51655573,10.35152764,10.41639549,241590168
16/12/2005,10.69077969,10.74918518,10.5068618,10.57123334,652566780
19/12/2005,10.55284214,11.08992839,10.44124894,10.74172969,876594528
20/12/2005,10.68058872,10.74172862,10.55458004,10.63386338,402984612
21/12/2005,10.59583855,10.85754709,10.45616165,10.77528214,448427124
22/12/2005,10.73775387,10.75813257,10.58589767,10.73104242,301562136
23/12/2005,10.71016502,10.74918537,10.65673012,10.74048682,183620196
27/12/2005,10.55383587,10.73327851,10.50711147,10.73327851,267843888
28/12/2005,10.60478592,10.63187607,10.46983052,10.54637947,284431284
29/12/2005,10.44224262,10.65548685,10.41788687,10.63684616,277554168
30/12/2005,10.31076717,10.39402757,10.28293162,10.37066442,303180516
03/01/2006,10.81703568,10.82797137,10.39427609,10.50114683,524323152
04/01/2006,11.06581974,11.15827498,10.92937355,11.03251634,610844544
